train_acc,train_loss,val_acc,val_loss
0.48412491997439183,1.8046734,0.7029979674796748,0.9682871
0.7558018565941101,0.77148795,0.774707825203252,0.6772916
0.7980553777208707,0.6176685,0.8102134146341463,0.5681507
0.8194722311139565,0.544347,0.8280614837398373,0.5143842
0.8305857874519846,0.50236076,0.8368267276422764,0.4870423
0.8404989596670934,0.4677736,0.8419080284552846,0.45424852
0.8465608994878361,0.44396433,0.8537220528455285,0.42125037
0.8543033770806658,0.42302397,0.8553099593495935,0.4132942
0.8572843309859155,0.40911314,0.8607088414634146,0.39763975
0.8618557938540333,0.39165857,0.8591209349593496,0.39009076
0.8670174455825864,0.37728557,0.8689659552845529,0.36921513
0.8696182778489117,0.36660832,0.8716971544715447,0.36116174
0.8724891965428937,0.35824108,0.8661712398373984,0.37078705
0.8757502400768246,0.34762776,0.8735391260162602,0.3532799
0.8779909571062741,0.3385796,0.8758892276422764,0.3539725
0.8795114436619719,0.3322471,0.8758892276422764,0.34743
0.8823823623559539,0.32453305,0.8776041666666666,0.34323987
0.8850432138284251,0.31592438,0.879954268292683,0.3310603
0.8862836107554417,0.31263146,0.8871316056910569,0.3265306
0.8877340749039693,0.30503875,0.8847815040650406,0.3287529
0.8897947343149808,0.29970825,0.8859247967479674,0.32925126
0.8904949583866837,0.29649368,0.8793826219512195,0.3478542
0.8915953104993598,0.29218313,0.884400406504065,0.32777938
0.8938060179257362,0.28656477,0.8857342479674797,0.3234074
0.8945262483994878,0.2820121,0.8853531504065041,0.32942387
0.8967769686299616,0.27740118,0.883447662601626,0.33254215
0.8982974551856594,0.27399948,0.8878302845528455,0.32779193
0.8986575704225352,0.2692919,0.8860518292682927,0.31968966
0.8987275928297055,0.26632977,0.8839557926829268,0.32360712
0.9004481434058899,0.26276726,0.8847179878048781,0.32981157
